,Unnamed: 0,index,mr_new,pseudo_mr,da,text,,num_hops,num_triples,shape,LM_prob,PPL,pseudo_bleu,scores,pred,criteria,
6682,6682,668,Zella Day genre indie pop. Solange Knowles genre indie pop. Zella Day performer Zella Day. Feist genre indie pop.,Zella Day indie pop Solange Knowles Zella Day Feist,inform,"
Zella Day, Solange Knowles and Feist are all indie pop artists. Zella Day is also known for her work titled Zella Day.",22,1,4,(X (X) (X) (X) (X)),0.02624851782,38.09738922,6.20479856,0.9230119,inform,match_scores,1
6691,6691,669,Paul McCartney rating excellent. Paul McCartney award received Genesis Award. Paul McCartney award received Order of the Companions of Honour.,excellent Paul McCartney Genesis Award Order of the Companions of Honour,verify_attribute,I know you said Paul McCartney is excellent. Do you feel the same way about other musicians who received the Genesis Award and the Order of the Companions of Honour?,30,1,3,(X (X) (X) (X)),0.01695178631,58.99083328,18.08882102,0.82482547,verify_attribute,match_scores,1
6701,6701,670,Jennifer Connelly award received BAFTA Award for Best Actress in a Supporting Role. Maggie Smith award received BAFTA Award for Best Actress in a Supporting Role. Jennifer Connelly date of birth 1970-12-12T00:00:00Z.,Jennifer Connelly BAFTA Award for Best Actress in a Supporting Role Maggie Smith 1970-12-12T00:00:00Z,inform," Jennifer Connelly, born on December 12, 1970, and Maggie Smith both received the BAFTA Award for Best Actress in a Supporting Role.",22,1,3,(X (X) (X) (X)),0.03613955135,27.67051506,36.40173039,0.7710985,inform,match_scores,1
6712,6712,671,Luther Campbell genre hip hop music. Nelly Furtado genre hip hop music.,Luther Campbell hip hop music Nelly Furtado,suggest," Do you have any experience with hip hop music, like Luther Campbell and Nelly Furtado?",15,1,2,(X (X) (X)),0.02317802947,43.14430618,12.51223692,0.9131193,suggest,match_scores,1
6727,6727,672,Matt Nathanson rating okay. Show Me Your Fangs performer Matt Nathanson. Show Me Your Fangs genre rock music.,okay Matt Nathanson Show Me Your Fangs rock music,give_opinion," Matt Nathanson's rock music from Show Me Your Fangs is okay, but I wouldn't say it's amazing.",17,1,3,(X (X) (X) (X)),0.01157832911,86.36824799,16.19557013,0.8707996,give_opinion,match_scores,1
6738,6738,673,Allie X record label Universal Music Group. Havana Brown record label Universal Music Group. Allie X country of citizenship Canada. Canada award received Nansen Refugee Award. Allie X country of citizenship Canada. Canada award received Nansen Refugee Award.,Allie X Universal Music Group Havana Brown Canada Nansen Refugee Award Canada Nansen Refugee Award,inform,Allie X and Havana Brown are Universal Music Group artists from Canada who have both received the Nansen Refugee Award.,20,1,6,(X (X) (X) (X) (X) (X) (X)),0.003776761231,264.7771301,14.64087844,0.8627072,give_opinion,all_scores,0
6742,6742,674,Beverley Craven record label Sony Music. Calvin Harris record label Sony Music.,Beverley Craven Sony Music Calvin Harris,recommend,Have you tried Beverley Craven or Calvin Harris? They are both signed under Sony Music.,15,1,2,(X (X) (X)),0.005247670914,190.56073,7.922250669,0.85247684,recommend,match_scores,1
6752,6752,675,Madonna award received Rock and Roll Hall of Fame. Elvis Presley award received Rock and Roll Hall of Fame. Johnny Cash award received Rock and Roll Hall of Fame.,Madonna Rock and Roll Hall of Fame Elvis Presley Johnny Cash,inform," Madonna, Elvis Presley and Johnny Cash all have been inducted into the Rock and Roll Hall of Fame.",18,1,3,(X (X) (X) (X)),0.09601910829,10.4145937,29.85669537,0.92769897,inform,match_scores,1
6766,6766,676,Barrett Strong record label Motown. Motown genre soul music. Barrett Strong rating okay. Money (That’s What I Want) performer Barrett Strong. Barrett Strong country of citizenship United States of America. Barrett Strong genre rhythm and blues. Money (That's What I Want) / Oh I Apologize performer Barrett Strong.,Barrett Strong Motown soul music okay Money (That’s What I Want) United States of America rhythm and blues Money (That's What I Want) / Oh I Apologize,inform,Barrett Strong is an okay rhythm and blues and soul music artist from the United States who is signed with Motown and performed Money (That's What I Want) and Money (That's What I Want) / Oh I Apologize.,38,1,7,(X (X) (X) (X) (X) (X) (X) (X)),0.01390916785,71.89502716,37.32015583,0.87900394,give_opinion,all_scores,0
6773,6773,677,Clint Eastwood rating excellent. Clint Eastwood award received Ordre des Arts et des Lettres.,excellent Clint Eastwood Ordre des Arts et des Lettres,verify_attribute,You said that Clint Eastwood is excellent. Do you also think highly of other musicians who received the Ordre des Arts et des Lettres?,24,1,2,(X (X) (X)),0.01201550487,83.22579956,20.61487201,0.82866627,verify_attribute,match_scores,1
6789,6789,678,Hoku genre soul music. Aretha Franklin genre soul music. Perfect Day performer Hoku.,Hoku soul music Aretha Franklin Perfect Day,inform,"
Hoku is a soul music artist who performs songs such as Perfect Day. Aretha Franklin is also a soul music artist.",21,1,3,(X (X) (X) (X)),0.0164980178,60.61334229,5.928330062,0.75861716,inform,match_scores,1
6799,6799,679,Kevin Max record label Northern Records. Kevin Max record label Northern Records. Kevin Max rating okay. Kevin Max genre Christian rock. Michael W. Smith genre Christian rock. Holy Night record label Northern Records.,Kevin Max Northern Records Kevin Max okay Christian rock Michael W. Smith Holy Night,inform," Kevin Max and Michael W. Smith are both okay Christian rock artists. Kevin Max has released music with Northern Records, including a song called Holy Night.",26,1,6,(X (X) (X) (X) (X) (X) (X)),0.008766510528,114.0704727,15.75264529,0.8575502,inform,match,1
6801,6801,680,Rufus Thomas genre blues. Joe Cocker genre blues. Mick Jagger genre blues.,Rufus Thomas blues Joe Cocker Mick Jagger,inform,"
Rufus Thomas, Joe Cocker and Mick Jagger are all blues musicians.",11,1,3,(X (X) (X) (X)),0.01633549074,61.21640396,11.1212347,0.91726154,give_opinion,all_scores_PPL,0
6811,6811,681,Yukihiro Takahashi genre electronic music. Michael Cretu genre electronic music. Blue Moon Blue performer Yukihiro Takahashi. Colors: Best of Cover Tracks Vol. 2 performer Yukihiro Takahashi. Yukihiro Takahashi date of birth 1952-06-06T00:00:00Z. Yukihiro Takahashi genre J-pop.,Yukihiro Takahashi electronic music Michael Cretu Blue Moon Blue Colors: Best of Cover Tracks Vol. 2 1952-06-06T00:00:00Z J-pop,inform," Yukihiro Takahashi, born on 1952-06-06T00:00:00Z, is a J-pop and electronic music artist, who have notable works like Blue Moon Blue and Colors: Best of Cover Tracks Vol. 2.",28,1,6,(X (X) (X) (X) (X) (X) (X)),0.02261032543,44.22758102,43.20455395,0.89511585,inform,match_scores,1
6820,6820,682,Uffie country of citizenship France. France award received The Economist country of the year. Uffie date of birth 1987-12-09T00:00:00Z. Uffie country of citizenship United States of America. Uffie record label Elektra. Uffie genre synth-pop.,Uffie France The Economist country of the year 1987-12-09T00:00:00Z United States of America Elektra synth-pop,inform," Uffie, who is a French-American synth-pop artist, was born on 1987-12-09T00:00:00Z and singed with Elektra record label. She also received The Economist country of the year award.",27,1,6,(X (X) (X) (X) (X) (X) (X)),0.02274204654,43.97141647,32.9135446,0.8219809,inform,match_scores,1
6832,6832,683,Michael Jackson genre hard rock. Axl Rose genre hard rock. Jared Leto genre hard rock.,Michael Jackson hard rock Axl Rose Jared Leto,inform,"
Michael Jackson, Axl Rose and Jared Leto are all hard rock musicians.",12,1,3,(X (X) (X) (X)),0.02930096677,34.12856674,11.35935489,0.9033893,give_opinion,all_scores_PPL,0
6841,6841,684,Christine McVie rating okay. Christine McVie record label Columbia Records. Ina Müller record label Columbia Records.,okay Christine McVie Columbia Records Ina Müller,verify_attribute,You said Christine McVie is just okay. Do you feel the same with other artist from Columbia Records?,18,1,3,(X (X) (X) (X)),0.008251262631,121.193573,5.725998732,0.6903616,verify_attribute,match_scores,1
6852,6852,685,Jennifer Lopez genre hip hop music. Vanilla Ice genre hip hop music.,Jennifer Lopez hip hop music Vanilla Ice,inform,"
Jennifer Lopez and Vanilla Ice are both hip hop music artists.",11,1,2,(X (X) (X)),0.01362371453,73.40142059,18.52797256,0.8916505,inform,match_scores_PPL,1
6861,6861,686,Barrett Strong record label Motown. Rick James record label Motown. Barrett Strong genre rhythm and blues. Money (That's What I Want) / Oh I Apologize performer Barrett Strong. Barrett Strong genre rhythm and blues. Queen Latifah record label Motown. Queen Latifah record label Motown.,Barrett Strong Motown Rick James rhythm and blues Money (That's What I Want) / Oh I Apologize rhythm and blues Queen Latifah Queen Latifah,inform," Barrett Strong and Queen Latifah are both rhythm and blues artists from Motown, and Barrett Strong is the performer for Money (That's What I Want) / Oh I Apologize.",29,1,7,(X (X) (X) (X) (X) (X) (X) (X)),0.0113691749,87.95713043,38.86201257,0.79904485,give_opinion,all_scores,0
6874,6874,687,Kate Bush record label Columbia Records. Remy Ma record label Columbia Records. Kate Bush genre progressive pop. Ina Müller record label Columbia Records.,Kate Bush Columbia Records Remy Ma progressive pop Ina Müller,inform,"
 Kate Bush, Remy Ma and Ina Müller are all progressive pop artists signed with Columbia Records.",17,1,4,(X (X) (X) (X) (X)),0.002718890698,367.7970581,9.604767076,0.89774925,give_opinion,all_scores,0
6884,6884,688,Matt Nathanson rating okay. When Everything Meant Everything performer Matt Nathanson. When Everything Meant Everything genre alternative rock.,okay Matt Nathanson When Everything Meant Everything alternative rock,verify_attribute," Since you said that When Everything Meant Everything is just okay, do you think the same about other alternative rock by Matt Nathanson?",23,1,3,(X (X) (X) (X)),0.005746274821,174.0257874,13.12155139,0.854052,verify_attribute,match_scores,1
6898,6898,689,Academy Award for Best Original Song rating good. Irene Cara award received Academy Award for Best Original Song.,good Academy Award for Best Original Song Irene Cara,request_explanation,What makes Irene Cara's Academy Award for Best Original Song stand out to you as good?,16,1,2,(X (X) (X)),0.01423330647,70.25774384,30.2770292,0.9319156,request_explanation,match_scores,1
6901,6901,690,glam rock rating excellent. Ramoncín genre glam rock.,excellent glam rock Ramoncín,request_explanation,What makes you think Ramoncín's glam rock is so excellent?,10,1,2,(X (X) (X)),0.00439136161,227.7198029,8.295193507,0.8836587,request_explanation,match_scores,1
6912,6912,691,Austin Butler rating okay. Peyton Leverett performer Austin Butler. Wil Ohmsford performer Austin Butler.,okay Austin Butler Peyton Leverett Wil Ohmsford,give_opinion," Austin Butler, who has performed in Peyton Leverett and Wil Ohmsford, is an okay performer.",15,1,3,(X (X) (X) (X)),0.002905222867,344.2076721,7.732130226,0.91244936,give_opinion,match_scores,1
6920,6920,692,Beverley Craven record label Sony Music. Joe Jackson record label Sony Music. Nick Cannon record label Sony Music.,Beverley Craven Sony Music Joe Jackson Nick Cannon,inform," Beverley Craven, Joe Jackson and Nick Cannon all signed with Sony Music.",12,1,3,(X (X) (X) (X)),0.004585123814,218.0966187,11.35935489,0.93689454,give_opinion,all_scores,0
6937,6937,693,John Lennon genre rock and roll. Catherine Popper genre rock and roll. John Lennon genre beat music.,John Lennon rock and roll Catherine Popper beat music,inform,"
John Lennon and Catherine Popper are rock and roll and beat music musicians.",13,1,3,(X (X) (X) (X)),0.006330150131,157.9741364,17.49380575,0.8948449,give_opinion,all_scores_PPL,0
6943,6943,694,Ryan Gosling rating good. City of Stars / May Finally Come True performer Ryan Gosling. Ryan Gosling genre folk rock.,good Ryan Gosling City of Stars / May Finally Come True folk rock,verify_attribute,I know you said that City of Stars / May Finally Come True was good. Do you also enjoy other folk rock artist like Ryan Gosling?,26,1,3,(X (X) (X) (X)),0.005771312449,173.270813,29.07153685,0.8330164,verify_attribute,match_scores,1
6959,6959,695,Scarlett Johansson award received Time 100. Billie Eilish award received Time 100. Scarlett Johansson award received Tony Award for Best Featured Actress in a Play. Scarlett Johansson award received star on Hollywood Walk of Fame. Scarlett Johansson record label Atco Records.,Scarlett Johansson Time 100 Billie Eilish Tony Award for Best Featured Actress in a Play star on Hollywood Walk of Fame Atco Records,inform," Scarlett Johansson has won the Tony Award for Best Featured Actress in a Play, Time 100, and a star on the Hollywood Walk of Fame. She is signed to Atco Records.",31,1,5,(X (X) (X) (X) (X) (X)),0.04090869794,24.44467926,35.44949526,0.8495219,inform,match_scores,1
6964,6964,696,Donna Fargo rating okay. Funny Face performer Donna Fargo. Donna Fargo country of citizenship United States of America.,okay Donna Fargo Funny Face United States of America,verify_attribute,I know you told me that you think Funny Face is okay. Does it generalize to all the musician from United States of America like Donna Fargo?,27,1,3,(X (X) (X) (X)),0.008296672899,120.5302429,11.20952841,0.7886549,verify_attribute,match_scores,1
6974,6974,697,Uffie genre electropop. Connie Mitchell genre electropop. Uffie date of birth 1987-12-09T00:00:00Z. Uffie country of citizenship France. France award received Lagun Onari. Calvin Harris genre electropop.,Uffie electropop Connie Mitchell 1987-12-09T00:00:00Z France Lagun Onari Calvin Harris,inform,"
Uffie and Connie Mitchell are both electropop artists from France. Uffie was born on 1987-12-09T00:00:00Z and was awarded with Lagun Onari. Calvin Harris is also an electropop artist.",28,1,6,(X (X) (X) (X) (X) (X) (X)),0.02049343761,48.79610825,25.47654396,0.86191887,inform,match_scores,1
6980,6980,698,Jamey Jasta genre metalcore. Tim Lambesis genre metalcore. Jamey Jasta country of citizenship United States of America. Matthew Tuck genre metalcore.,Jamey Jasta metalcore Tim Lambesis United States of America Matthew Tuck,inform," Jamey Jasta, Tim Lambesis, and Matthew Tuck are metalcore musicians from the United States.",14,1,4,(X (X) (X) (X) (X)),0.01103345172,90.63346863,9.421196862,0.88748235,inform,match_scores_PPL,1
6996,6996,699,Kanye West rating excellent. Kanye West genre gospel music.,excellent Kanye West gospel music,verify_attribute,I know you said you love Kanye West's gospel music. Do you have the same opinion for all gospel music artist?,21,1,2,(X (X) (X)),0.01842634757,54.2701149,3.644667089,0.79692394,verify_attribute,match_scores,1
7009,7009,700,Elvis Presley genre rock and roll. Stood Up genre rock and roll. Elvis Presley genre gospel music.,Elvis Presley rock and roll Stood Up gospel music,inform,Elvis Presley is a rock and roll and gospel music artist.,11,1,3,(X (X) (X) (X)),0.01706535455,58.59825516,18.52797256,0.8781206,inform,match_scores_PPL,1
7018,7018,701,Interscope Records rating good. Interscope Records genre rock music.,good Interscope Records rock music,request_explanation,What makes the rock music from Interscope Records just good?,10,1,2,(X (X) (X)),0.009352621116,106.9218979,11.20846675,0.8923795,request_explanation,match_scores,1
7029,7029,702,Beverley Craven record label Sony Music. Joe Jackson record label Sony Music.,Beverley Craven Sony Music Joe Jackson,recommend," Beverley Craven and Joe Jackson are both under Sony Music, have you listened to their music?",16,1,2,(X (X) (X)),0.00557297109,179.4375,7.439820586,0.87010324,recommend,match_scores,1
7035,7035,703,Harry Styles genre soft rock. Sade Adu genre soft rock. Harry Styles performer Harry Styles. Harry Styles genre Britpop. Jon Bon Jovi genre soft rock.,Harry Styles soft rock Sade Adu Harry Styles Britpop Jon Bon Jovi,inform," Harry Styles is a Britpop and soft rock artist who have several songs such as Harry Styles. Similarly, Sade Adu and Jon Bon Jovi are both soft rock artists.",29,1,5,(X (X) (X) (X) (X) (X)),0.01330725191,75.14699554,8.036517486,0.84604335,inform,match_scores,1
7042,7042,704,Noize MC rating okay. Noize MC genre rapcore. Jared Gomes genre rapcore.,okay Noize MC rapcore Jared Gomes,verify_attribute,You seem to be okay with Noize MC's rapcore. Does it extend to other rapcore artists like Jared Gomes?,19,1,3,(X (X) (X) (X)),0.006126063842,163.2369537,4.567211833,0.807044,verify_attribute,match_scores,1
7052,7052,705,Hoku rating okay. Hoku record label Geffen Records. Perfect Day performer Hoku.,okay Hoku Geffen Records Perfect Day,verify_attribute,You said Perfect Day was okay. Do you think the same of the other music from Geffen Records that Hoku has recorded?,22,1,3,(X (X) (X) (X)),0.00760963731,131.4123077,4.924674734,0.7423814,verify_attribute,match_scores,1
7069,7069,706,Eminem rating good. Eminem genre hip hop music. Stromae genre hip hop music.,good Eminem hip hop music Stromae,verify_attribute," Since you like Eminem's hip hop music, do you feel the same for other hip hop artist?",17,1,3,(X (X) (X) (X)),0.01684331834,59.37072372,7.535838129,0.6540008,verify_attribute,match_scores,1
7075,7075,707,Freddie Mercury country of citizenship Sultanate of Zanzibar. Khalid bin Barghash of Zanzibar country of citizenship Sultanate of Zanzibar. Freddie Mercury record label Columbia Records. Freddie Mercury record label Parlophone. Ali bin Hamud of Zanzibar country of citizenship Sultanate of Zanzibar.,Freddie Mercury Sultanate of Zanzibar Khalid bin Barghash of Zanzibar Columbia Records Parlophone Ali bin Hamud of Zanzibar,inform,"
Freddie Mercury, Khalid bin Barghash of Zanzibar, and Ali bin Hamud of Zanzibar were all citizens of the Sultanate of Zanzibar and have released music with Columbia Records and Parlophone.",30,1,5,(X (X) (X) (X) (X) (X)),0.02321616261,43.07344055,28.01342621,0.95025593,inform,match_scores,1
7087,7087,708,Neha Bhasin genre Indian pop. Udit Narayan genre Indian pop. Neha Bhasin date of birth 1982-11-18T00:00:00Z. Neha Bhasin genre filmi music. Neha Bhasin date of birth 1982-11-18T00:00:00Z.,Neha Bhasin Indian pop Udit Narayan 1982-11-18T00:00:00Z filmi music 1982-11-18T00:00:00Z,inform,"
Neha Bhasin and Udit Narayan are Indian pop and filmi music musicians. Neha Bhasin was born on November 18th, 1982.",20,1,5,(X (X) (X) (X) (X) (X)),0.02249982319,44.4447937,5.953962161,0.5681092,inform,match_scores,1
7099,7099,709,Kanye West rating excellent. Kanye West genre gospel music. Lecrae genre gospel music.,excellent Kanye West gospel music Lecrae,give_opinion,Kanye West is an excellent gospel music artist. I have been a big fan of his music for a long time.,21,1,3,(X (X) (X) (X)),0.04924359154,20.30721092,4.924674734,0.7519495,give_opinion,match_scores,1
7103,7103,710,Cage rating okay. Cage record label Eastern Conference Records.,okay Cage Eastern Conference Records,give_opinion,Cage is a okay artist signed with Eastern Conference Records.,10,1,2,(X (X) (X)),0.0005293802142,1889.001465,15.85116569,0.82384944,give_opinion,match_scores,1
7119,7119,711,Lady Gaga award received Academy Award for Best Original Song. Sam Smith award received Academy Award for Best Original Song. Irene Cara award received Academy Award for Best Original Song.,Lady Gaga Academy Award for Best Original Song Sam Smith Irene Cara,inform," Lady Gaga, Sam Smith, and Irene Cara have all won the Academy Award for Best Original Song.",17,1,3,(X (X) (X) (X)),0.03639672379,27.47500038,31.54909196,0.9512988,inform,match,1
7124,7124,712,Jamey Jasta genre metalcore. Beau Bokan genre metalcore. Jamey Jasta date of birth 1977-08-07T00:00:00Z. Jasta performer Jamey Jasta. Matthew Tuck genre metalcore.,Jamey Jasta metalcore Beau Bokan 1977-08-07T00:00:00Z Jasta Matthew Tuck,inform," Jamey Jasta is a metalcore artist born on 1977-08-07T00:00:00Z. He is known for his work, Jamey Jasta. Beau Bokan and Matthew Tuck are also metalcore artists.",26,1,5,(X (X) (X) (X) (X) (X)),0.03005555389,33.27172089,25.80380539,0.8857899,inform,match_scores,1
7138,7138,713,David Bowie genre glam rock. Mike Chapman genre glam rock. David Bowie genre hard rock. David Bowie genre pop rock. David Bowie genre electronic music.,David Bowie glam rock Mike Chapman hard rock pop rock electronic music,inform," David Bowie is a multi-genre musician, performing glam rock, hard rock, pop rock, and electronic music.",16,1,5,(X (X) (X) (X) (X) (X)),0.03994868347,25.03211403,8.121778764,0.8068332,inform,match_scores,1
7142,7142,714,Rufus Thomas genre blues. Christine McVie genre blues. Chris Rea genre blues.,Rufus Thomas blues Christine McVie Chris Rea,inform,"
Rufus Thomas, Christine McVie and Chris Rea are all blues artists.",11,1,3,(X (X) (X) (X)),0.009398780508,106.3967819,11.1212347,0.9261239,give_opinion,all_scores_PPL,0
7155,7155,715,David Bowie genre glam rock. Mika genre glam rock. David Bowie genre new wave. David Bowie genre hard rock. David Bowie genre psychedelic pop.,David Bowie glam rock Mika new wave hard rock psychedelic pop,inform,"
David Bowie is a musician who produces a variety of genres, including glam rock, new wave, hard rock, and psychedelic pop.",21,1,5,(X (X) (X) (X) (X) (X)),0.05091645402,19.64001656,6.460362622,0.76477367,inform,match,1
7162,7162,716,Kim Ryeowook genre K-pop. Seo Joo-hyun genre K-pop. Lee Seung-gi genre K-pop.,Kim Ryeowook K-pop Seo Joo-hyun Lee Seung-gi,inform," Kim Ryeowook, Seo Joo-hyun and Lee Seung-gi are K-pop artists.",10,1,3,(X (X) (X) (X)),0.01873576739,53.37384796,12.1920916,0.9479831,inform,match_scores,1
7170,7170,717,Olivia Newton-John rating excellent. Olivia Newton-John award received Grammy Award for Best Female Pop Vocal Performance. Adele award received Grammy Award for Best Female Pop Vocal Performance.,excellent Olivia Newton-John Grammy Award for Best Female Pop Vocal Performance Adele,give_opinion,Olivia Newton-John is an excellent musician who won the Grammy Award for Best Female Pop Vocal Performance.,17,1,3,(X (X) (X) (X)),0.03712436302,26.93648911,43.54294658,0.8774339,give_opinion,match_scores,1
7187,7187,718,Kate Bush record label Columbia Records. Paul Desmond record label Columbia Records. Kate Bush genre baroque pop. Maria Creuza record label Columbia Records.,Kate Bush Columbia Records Paul Desmond baroque pop Maria Creuza,inform," Kate Bush, Paul Desmond and Maria Creuza are all baroque pop artists signed under Columbia Records.",16,1,4,(X (X) (X) (X) (X)),0.003242604145,308.394104,9.604767076,0.90648144,give_opinion,all_scores,0
7198,7198,719,Luther Campbell genre hip hop music. Wiz Khalifa genre hip hop music. Luther Campbell country of citizenship United States of America. Luther Campbell record label Luke Records. Somethin' Nasty performer Luther Campbell. Mac Miller genre hip hop music.,Luther Campbell hip hop music Wiz Khalifa United States of America Luke Records Somethin' Nasty Mac Miller,inform,Luther Campbell is a hip hop music artist from the United States who released a song called Somethin' Nasty under his record label Luke Records. Wiz Khalifa and Mac Miller are also hip hop music artists.,36,1,6,(X (X) (X) (X) (X) (X) (X)),0.02302623778,43.42871857,7.628670307,0.82028,inform,match_scores,1
7208,7208,720,Aaron Carter genre hip hop music. Nelly Furtado genre hip hop music.,Aaron Carter hip hop music Nelly Furtado,inform,Aaron Carter and Nelly Furtado are both hip hop music artists.,11,1,2,(X (X) (X)),0.01245996701,80.2570343,18.52797256,0.89740217,inform,match,1
7213,7213,721,Zella Day record label Hollywood Records. Miley Cyrus record label Hollywood Records.,Zella Day Hollywood Records Miley Cyrus,recommend," Have you heard of Zella Day from Hollywood Records? She's a great artist, just like Miley Cyrus.",17,1,2,(X (X) (X)),0.02030255724,49.254879,6.632379584,0.84876424,recommend,match_scores,1
7222,7222,722,Eminem award received Academy Award for Best Original Song. Mark Ronson award received Academy Award for Best Original Song. Eminem country of citizenship United States of America. Eminem record label WEB Entertainment. Eminem record label Shady Records. Eminem award received Grammy Award for Best Melodic Rap Performance. Adele award received Academy Award for Best Original Song.,Eminem Academy Award for Best Original Song Mark Ronson United States of America WEB Entertainment Shady Records Grammy Award for Best Melodic Rap Performance Adele,inform,"
Eminem, an American artist with records from WEB Entertainment and Shady Records, has won the Grammy Award for Best Melodic Rap Performance and the Academy Award for Best Original Song. Similarly, Mark Ronson and Adele have both won an Academy Award for Best Original Song.",45,1,7,(X (X) (X) (X) (X) (X) (X) (X)),0.05673065738,17.6271534,24.06000288,0.8949696,inform,match_scores,1
7231,7231,723,Jamey Jasta genre metalcore. Jona Weinhofen genre metalcore. Jasta performer Jamey Jasta. Jasta performer Jamey Jasta. Jamey Jasta country of citizenship United States of America. Jasta performer Jamey Jasta. Jamey Jasta date of birth 1977-08-07T00:00:00Z.,Jamey Jasta metalcore Jona Weinhofen Jasta Jasta United States of America Jasta 1977-08-07T00:00:00Z,inform,Jamey Jasta is an American metalcore artist who was born on 1977-08-07T00:00:00Z.,12,1,7,(X (X) (X) (X) (X) (X) (X) (X)),0.03870588707,25.83586311,42.15503094,0.78744614,inform,match_scores,1
7246,7246,724,Michael Jackson genre hard rock. James Hetfield genre hard rock. Michael Jackson genre pop music. Michael Jackson genre pop music. Michael Jackson genre pop music. Ozzy Osbourne genre hard rock. Freddie Mercury genre hard rock.,Michael Jackson hard rock James Hetfield pop music pop music pop music Ozzy Osbourne Freddie Mercury,inform,"
Michael Jackson is a pop music artist, while James Hetfield, Ozzy Osbourne and Freddie Mercury all specialize in hard rock music.",21,1,7,(X (X) (X) (X) (X) (X) (X) (X)),0.04109473616,24.3340168,7.863318929,0.88811,give_opinion,all_scores,0
7258,7258,725,Allie X record label Universal Music Group. RedOne record label Universal Music Group.,Allie X Universal Music Group RedOne,suggest," Have you ever heard of any artist signed to Universal Music Group, like Allie X or RedOne?",17,1,2,(X (X) (X)),0.01411768001,70.83316803,9.917720727,0.8009693,suggest,match_scores,1
7262,7262,726,Harry Styles genre Britpop. Ian Brown genre Britpop.,Harry Styles Britpop Ian Brown,recommend,"
If you like Britpop, have you heard of Harry Styles or Ian Brown?",13,1,2,(X (X) (X)),0.02558007053,39.09293365,7.859438682,0.83696413,recommend,match_scores,1
7278,7278,727,Beverley Craven genre pop rock. Stas Shurins genre pop rock. Beverley Craven date of birth 1963-07-28T00:00:00Z. Holding On performer Beverley Craven. Alanis Morissette genre pop rock.,Beverley Craven pop rock Stas Shurins 1963-07-28T00:00:00Z Holding On Alanis Morissette,inform," Beverley Craven is a pop rock artist born in 1963 who has a song called Holding On and Stas Shurins is another pop rock artist, along with Alanis Morissette.",29,1,5,(X (X) (X) (X) (X) (X)),0.01097281518,91.13431549,5.492985229,0.7352213,inform,match_scores,1
7281,7281,728,Lady Gaga rating excellent. Lady Gaga award received MTV Video Music Award for Best Female Video. Lady Gaga award received MTV Video Music Award for Best New Artist.,excellent Lady Gaga MTV Video Music Award for Best Female Video MTV Video Music Award for Best New Artist,verify_attribute," Since you said you love Lady Gaga's music, do you enjoy other musician who got MTV Video Music Award for Best Female Video and Best New Artist?",27,1,3,(X (X) (X) (X)),0.02562293052,39.02754211,28.53643158,0.8671793,verify_attribute,match_scores,1
7295,7295,729,Barrett Strong record label Motown. Brandy record label Motown. Sammy Davis Jr. record label Motown.,Barrett Strong Motown Brandy Sammy Davis Jr.,inform," Barrett Strong, Brandy and Sammy Davis Jr. all singed with the record label Motown.",14,1,3,(X (X) (X) (X)),0.005778579261,173.0529175,18.29565422,0.88663715,give_opinion,all_scores,0
7306,7306,730,Donna Fargo genre country music. Ray Charles genre country music.,Donna Fargo country music Ray Charles,recommend," Have you heard of Donna Fargo, the country music artist, or Ray Charles?",13,1,2,(X (X) (X)),0.01015849317,98.43979645,8.471785908,0.8563024,recommend,match_scores,1
7310,7310,731,Lisa Marie Presley genre pop rock. Alanis Morissette genre pop rock. Lisa Marie Presley genre country music. Bella Thorne genre pop rock.,Lisa Marie Presley pop rock Alanis Morissette country music Bella Thorne,inform,"
Lisa Marie Presley is a pop rock and country music artist, Alanis Morissette is a pop rock artist, and Bella Thorne is a pop rock artist.",26,1,4,(X (X) (X) (X) (X)),0.05641435576,17.72598457,8.722785634,0.8104686,inform,match_scores_PPL,1
7328,7328,732,opera rating okay. Christoph Willibald von Gluck genre opera.,okay opera Christoph Willibald von Gluck,request_explanation,What makes you think the opera of Christoph Willibald von Gluck is just okay?,14,1,2,(X (X) (X)),0.007635338045,130.9699707,18.20705281,0.93516886,request_explanation,match_scores,1
7339,7339,733,Yukihiro Takahashi genre electronic music. Michael Cretu genre electronic music. Colors: Best of Cover Tracks Vol. 1 performer Yukihiro Takahashi. Wild & Moody performer Yukihiro Takahashi. Yukihiro Takahashi genre J-pop.,Yukihiro Takahashi electronic music Michael Cretu Colors: Best of Cover Tracks Vol. 1 Wild & Moody J-pop,inform,"
Yukihiro Takahashi is a J-pop and electronic music artist who released Colors: Best of Cover Tracks Vol. 1 and Wild & Moody.",22,1,5,(X (X) (X) (X) (X) (X)),0.01609219026,62.14194489,42.37819055,0.8862965,inform,match_scores_PPL,1
7346,7346,734,Elvis Presley rating good. Elvis Presley genre country music. Bing Crosby genre country music.,good Elvis Presley country music Bing Crosby,give_opinion,Elvis Presley and Bing Crosby are both good country music performers.,11,1,3,(X (X) (X) (X)),0.01117810595,89.46059418,12.1920916,0.91589034,give_opinion,match_scores,1
7352,7352,735,Olivia Newton-John genre pop music. Wanessa Camargo genre pop music.,Olivia Newton-John pop music Wanessa Camargo,recommend," Pop music is your thing, have you heard of Olivia Newton-John and Wanessa Camargo?",14,1,2,(X (X) (X)),0.007796032679,128.2703705,7.314031827,0.92062896,recommend,match_scores,1
