,mr,da,test_pseudo_utt,domain,type,n_hops,num_triples,pseudo_mr
2716,inform = yes | name = Mystery Motive for Murder | genres = mystery fiction | instance_of = board game | publisher = Mayfair Games | publication_year = 2015 | domain = board game,inform,Mystery Motive For Murder Mystery Fiction Board Game Mayfair Games 2015,board games,board game,1,5,Mystery Motive for Murder genre mystery fiction. Mystery Motive for Murder instance of board game. Mystery Motive for Murder publisher Mayfair Games. Mystery Motive for Murder publication date 2015. Mystery Motive for Murder domain board game.
2717,inform = yes | name = Cosmic Encounter | genres = science fiction | publication_year = 1977 | min_players = 3 | instance_of = board game | max_players = 8 | publisher = Fantasy Flight Games | domain = board game,inform,Cosmic Encounter Science Fiction 1977 3 Board Game 8 Fantasy Flight Games,board games,board game,1,7,Cosmic Encounter genre science fiction. Cosmic Encounter publication date 1977. Cosmic Encounter minimum number of players 3. Cosmic Encounter instance of board game. Cosmic Encounter maximum number of players 8. Cosmic Encounter publisher Fantasy Flight Games. Cosmic Encounter domain board game.
2718,inform = yes | name = Barbarossa | genres = fantasy | instance_of = board game | publication_year = 1988 | max_players = 6 | min_players = 3 | domain = board game,inform,Barbarossa Fantasy Board Game 1988 6 3,board games,board game,1,6,Barbarossa genre fantasy. Barbarossa instance of board game. Barbarossa publication date 1988. Barbarossa maximum number of players 6. Barbarossa minimum number of players 3. Barbarossa domain board game.
2719,inform = yes | name = Axis and Allies | genres = board wargame | instance_of = board game | publication_year = 1981 | max_players = 5 | domain = board game,inform,Axis And Allies Board Wargame Board Game 1981 5,board games,board game,1,5,Axis and Allies genre board wargame. Axis and Allies instance of board game. Axis and Allies publication date 1981. Axis and Allies maximum number of players 5. Axis and Allies domain board game.
2720,inform = yes | name = Betrayal at House on the Hill | genres = horror fiction | publication_year = 2004 | max_players = 6 | min_players = 3 | domain = board game,inform,Betrayal At House On The Hill Horror Fiction 2004 6 3,board games,board game,1,5,Betrayal at House on the Hill genre horror fiction. Betrayal at House on the Hill publication date 2004. Betrayal at House on the Hill maximum number of players 6. Betrayal at House on the Hill minimum number of players 3. Betrayal at House on the Hill domain board game.
2721,inform = yes | name = Axis and Allies | genres = board wargame | publisher = Avalon Hill | max_players = 5 | instance_of = board game | domain = board game,inform,Axis And Allies Board Wargame Avalon Hill 5 Board Game,board games,board game,1,5,Axis and Allies genre board wargame. Axis and Allies publisher Avalon Hill. Axis and Allies maximum number of players 5. Axis and Allies instance of board game. Axis and Allies domain board game.
2722,inform = yes | name = Cosmic Encounter | genres = science fiction | max_players = 8 | instance_of = board game | publication_year = 1977 | min_players = 3 | publisher = Fantasy Flight Games | domain = board game,inform,Cosmic Encounter Science Fiction 8 Board Game 1977 3 Fantasy Flight Games,board games,board game,1,7,Cosmic Encounter genre science fiction. Cosmic Encounter maximum number of players 8. Cosmic Encounter instance of board game. Cosmic Encounter publication date 1977. Cosmic Encounter minimum number of players 3. Cosmic Encounter publisher Fantasy Flight Games. Cosmic Encounter domain board game.
2723,inform = yes | name = A Game of Thrones | genres = fantasy | min_players = 3 | instance_of = board game | publication_year = 2003 | max_players = 5 | publisher = Fantasy Flight Games | domain = board game,inform,A Game Of Thrones Fantasy 3 Board Game 2003 5 Fantasy Flight Games,board games,board game,1,7,A Game of Thrones genre fantasy. A Game of Thrones minimum number of players 3. A Game of Thrones instance of board game. A Game of Thrones publication date 2003. A Game of Thrones maximum number of players 5. A Game of Thrones publisher Fantasy Flight Games. A Game of Thrones domain board game.
2724,inform = yes | name = Descent Journeys in the Dark | genres = fantasy | min_players = 2 | publisher = Fantasy Flight Games | domain = board game,inform,Descent Journeys In The Dark Fantasy 2 Fantasy Flight Games,board games,board game,1,4,Descent Journeys in the Dark genre fantasy. Descent Journeys in the Dark minimum number of players 2. Descent Journeys in the Dark publisher Fantasy Flight Games. Descent Journeys in the Dark domain board game.
2725,inform = yes | name = Lord of the Rings | genres = fantasy | min_players = 2 | max_players = 5 | publication_year = 2000 | based_on = The Lord of the Rings | domain = board game,inform,Lord Of The Rings Fantasy 2 5 2000 The Lord Of The Rings,board games,board game,1,6,Lord of the Rings genre fantasy. Lord of the Rings minimum number of players 2. Lord of the Rings maximum number of players 5. Lord of the Rings publication date 2000. Lord of the Rings based on The Lord of the Rings. Lord of the Rings domain board game.
2726,inform = yes | name = Chicago | genres = strategy game | max_players = 4 | min_players = 2 | publisher = Playmix | instance_of = board game | domain = board game,inform,Chicago Strategy Game 4 2 Playmix Board Game,board games,board game,1,6,Chicago genre strategy game. Chicago maximum number of players 4. Chicago minimum number of players 2. Chicago publisher Playmix. Chicago instance of board game. Chicago domain board game.
2727,inform = yes | name = Stratego | genres = board wargame | max_players = 2 | publisher = Jumbo Games | instance_of = board game | domain = board game,inform,Stratego Board Wargame 2 Jumbo Games Board Game,board games,board game,1,5,Stratego genre board wargame. Stratego maximum number of players 2. Stratego publisher Jumbo Games. Stratego instance of board game. Stratego domain board game.
2728,inform = yes | name = Chicago | genres = strategy game | publication_year = 1986 | publisher = Playmix | max_players = 4 | min_players = 2 | domain = board game,inform,Chicago Strategy Game 1986 Playmix 4 2,board games,board game,1,6,Chicago genre strategy game. Chicago publication date 1986. Chicago publisher Playmix. Chicago maximum number of players 4. Chicago minimum number of players 2. Chicago domain board game.
2729,inform = yes | name = Twilight Struggle | genres = board wargame | max_players = 2 | min_players = 2 | domain = board game,inform,Twilight Struggle Board Wargame 2 2,board games,board game,1,4,Twilight Struggle genre board wargame. Twilight Struggle maximum number of players 2. Twilight Struggle minimum number of players 2. Twilight Struggle domain board game.
2730,inform = yes | name = Sherlock Holmes Consulting Detective | genres = deduction game | publisher = Space Cowboys | game_mechanics = deductive reasoning | min_players = 1 | publication_year = 1981 | domain = board game,inform,Sherlock Holmes Consulting Detective Deduction Game Space Cowboys Deductive Reasoning 1 1981,board games,board game,1,6,Sherlock Holmes Consulting Detective genre deduction game. Sherlock Holmes Consulting Detective publisher Space Cowboys. Sherlock Holmes Consulting Detective game mechanics deductive reasoning. Sherlock Holmes Consulting Detective minimum number of players 1. Sherlock Holmes Consulting Detective publication date 1981. Sherlock Holmes Consulting Detective domain board game.
2731,inform = yes | name = Thurn and Taxis | genres = historical board game | developer = Karen Seyfarth | max_players = 4 | instance_of = board game | publisher = Hans im Glück | domain = board game,inform,Thurn And Taxis Historical Board Game Karen Seyfarth 4 Board Game Hans Im Glück,board games,board game,1,6,Thurn and Taxis genre historical board game. Thurn and Taxis developer Karen Seyfarth. Thurn and Taxis maximum number of players 4. Thurn and Taxis instance of board game. Thurn and Taxis publisher Hans im Glück. Thurn and Taxis domain board game.
2732,inform = yes | name = Risk | genres = board wargame | developer = Albert Lamorisse | min_players = 2 | publisher = Miro Company | max_players = 6 | domain = board game,inform,Risk Board Wargame Albert Lamorisse 2 Miro Company 6,board games,board game,1,6,Risk genre board wargame. Risk developer Albert Lamorisse. Risk minimum number of players 2. Risk publisher Miro Company. Risk maximum number of players 6. Risk domain board game.
2733,inform = yes | name = Dune | genres = science fiction | max_players = 6 | instance_of = board game | domain = board game,inform,Dune Science Fiction 6 Board Game,board games,board game,1,4,Dune genre science fiction. Dune maximum number of players 6. Dune instance of board game. Dune domain board game.
2734,inform = yes | name = Descent Journeys in the Dark | genres = fantasy | max_players = 5 | publication_year = 2005 | min_players = 2 | domain = board game,inform,Descent Journeys In The Dark Fantasy 5 2005 2,board games,board game,1,5,Descent Journeys in the Dark genre fantasy. Descent Journeys in the Dark maximum number of players 5. Descent Journeys in the Dark publication date 2005. Descent Journeys in the Dark minimum number of players 2. Descent Journeys in the Dark domain board game.
2735,inform = yes | name = Barbarossa | genres = fantasy | publisher = Franckh-Kosmos | publication_year = 1988 | developer = Klaus Teuber | min_players = 3 | domain = board game,inform,Barbarossa Fantasy Franckh-Kosmos 1988 Klaus Teuber 3,board games,board game,1,6,Barbarossa genre fantasy. Barbarossa publisher Franckh-Kosmos. Barbarossa publication date 1988. Barbarossa developer Klaus Teuber. Barbarossa minimum number of players 3. Barbarossa domain board game.
2736,inform = yes | name = Risk | genres = board wargame | publisher = Miro Company | publication_year = 1957 | instance_of = board game | domain = board game,inform,Risk Board Wargame Miro Company 1957 Board Game,board games,board game,1,5,Risk genre board wargame. Risk publisher Miro Company. Risk publication date 1957. Risk instance of board game. Risk domain board game.
2737,inform = yes | name = Axis and Allies | genres = board wargame | country_of_origin = United States of America | publisher = Avalon Hill | domain = board game,inform,Axis And Allies Board Wargame United States Of America Avalon Hill,board games,board game,1,4,Axis and Allies genre board wargame. Axis and Allies country of origin United States of America. Axis and Allies publisher Avalon Hill. Axis and Allies domain board game.
2738,inform = yes | name = A Game of Thrones | genres = fantasy | min_players = 3 | instance_of = board game | max_players = 5 | domain = board game,inform,A Game Of Thrones Fantasy 3 Board Game 5,board games,board game,1,5,A Game of Thrones genre fantasy. A Game of Thrones minimum number of players 3. A Game of Thrones instance of board game. A Game of Thrones maximum number of players 5. A Game of Thrones domain board game.
2739,inform = yes | name = Descent Journeys in the Dark | genres = fantasy | min_players = 2 | instance_of = board game | max_players = 5 | publication_year = 2005 | publisher = Fantasy Flight Games | domain = board game,inform,Descent Journeys In The Dark Fantasy 2 Board Game 5 2005 Fantasy Flight Games,board games,board game,1,7,Descent Journeys in the Dark genre fantasy. Descent Journeys in the Dark minimum number of players 2. Descent Journeys in the Dark instance of board game. Descent Journeys in the Dark maximum number of players 5. Descent Journeys in the Dark publication date 2005. Descent Journeys in the Dark publisher Fantasy Flight Games. Descent Journeys in the Dark domain board game.
2740,inform = yes | name = Afrikan tähti | genres = roll-and-move | min_players = 2 | publication_year = 1951 | country_of_origin = Finland | instance_of = board game | domain = board game,inform,Afrikan Tähti Roll-And-Move 2 1951 Finland Board Game,board games,board game,1,6,Afrikan tähti genre roll-and-move. Afrikan tähti minimum number of players 2. Afrikan tähti publication date 1951. Afrikan tähti country of origin Finland. Afrikan tähti instance of board game. Afrikan tähti domain board game.
2741,inform = yes | name = Thurn and Taxis | genres = historical board game | developer = Andreas Seyfarth | publisher = Hans im Glück | min_players = 2 | publication_year = 2006 | domain = board game,inform,Thurn And Taxis Historical Board Game Andreas Seyfarth Hans Im Glück 2 2006,board games,board game,1,6,Thurn and Taxis genre historical board game. Thurn and Taxis developer Andreas Seyfarth. Thurn and Taxis publisher Hans im Glück. Thurn and Taxis minimum number of players 2. Thurn and Taxis publication date 2006. Thurn and Taxis domain board game.
2742,inform = yes | name = Monopoly | genres = roll-and-move | game_mechanics = resource management | publication_year = 1937 | domain = board game,inform,Monopoly Roll-And-Move Resource Management 1937,board games,board game,1,4,Monopoly genre roll-and-move. Monopoly game mechanics resource management. Monopoly publication date 1937. Monopoly domain board game.
2743,inform = yes | name = Barbarossa | genres = fantasy | publisher = Franckh-Kosmos | publication_year = 1988 | domain = board game,inform,Barbarossa Fantasy Franckh-Kosmos 1988,board games,board game,1,4,Barbarossa genre fantasy. Barbarossa publisher Franckh-Kosmos. Barbarossa publication date 1988. Barbarossa domain board game.
2744,inform = yes | name = Scotland Yard | genres = deduction game | game_mechanics = cooperative gameplay | max_players = 6 | min_players = 3 | domain = board game,inform,Scotland Yard Deduction Game Cooperative Gameplay 6 3,board games,board game,1,5,Scotland Yard genre deduction game. Scotland Yard game mechanics cooperative gameplay. Scotland Yard maximum number of players 6. Scotland Yard minimum number of players 3. Scotland Yard domain board game.
2745,inform = yes | name = Spirit Island | genres = cooperative board game | domain = board game,inform,Spirit Island Cooperative Board Game,board games,board game,1,2,Spirit Island genre cooperative board game. Spirit Island domain board game.
2746,inform = yes | name = Risk | genres = board wargame | publisher = Miro Company | developer = Albert Lamorisse | domain = board game,inform,Risk Board Wargame Miro Company Albert Lamorisse,board games,board game,1,4,Risk genre board wargame. Risk publisher Miro Company. Risk developer Albert Lamorisse. Risk domain board game.
2747,inform = yes | name = War of 1812 | genres = wargame | instance_of = board game | publication_year = 1973 | publisher = Columbia Games | domain = board game,inform,War Of 1812 Wargame Board Game 1973 Columbia Games,board games,board game,1,5,War of 1812 genre wargame. War of 1812 instance of board game. War of 1812 publication date 1973. War of 1812 publisher Columbia Games. War of 1812 domain board game.
2748,inform = yes | name = Star Realms | genres = science fiction | min_players = 2 | instance_of = board game | domain = board game,inform,Star Realms Science Fiction 2 Board Game,board games,board game,1,4,Star Realms genre science fiction. Star Realms minimum number of players 2. Star Realms instance of board game. Star Realms domain board game.
2749,inform = yes | name = Sherlock Holmes Consulting Detective | genres = deduction game | min_players = 1 | instance_of = board game | publisher = Space Cowboys | domain = board game,inform,Sherlock Holmes Consulting Detective Deduction Game 1 Board Game Space Cowboys,board games,board game,1,5,Sherlock Holmes Consulting Detective genre deduction game. Sherlock Holmes Consulting Detective minimum number of players 1. Sherlock Holmes Consulting Detective instance of board game. Sherlock Holmes Consulting Detective publisher Space Cowboys. Sherlock Holmes Consulting Detective domain board game.
2750,inform = yes | name = Sherlock Holmes Consulting Detective | genres = deduction game | publication_year = 1981 | game_mechanics = deductive reasoning | max_players = 8 | instance_of = board game | domain = board game,inform,Sherlock Holmes Consulting Detective Deduction Game 1981 Deductive Reasoning 8 Board Game,board games,board game,1,6,Sherlock Holmes Consulting Detective genre deduction game. Sherlock Holmes Consulting Detective publication date 1981. Sherlock Holmes Consulting Detective game mechanics deductive reasoning. Sherlock Holmes Consulting Detective maximum number of players 8. Sherlock Holmes Consulting Detective instance of board game. Sherlock Holmes Consulting Detective domain board game.
2751,inform = yes | name = Sherlock Holmes Consulting Detective | genres = deduction game | publisher = Space Cowboys | instance_of = board game | min_players = 1 | domain = board game,inform,Sherlock Holmes Consulting Detective Deduction Game Space Cowboys Board Game 1,board games,board game,1,5,Sherlock Holmes Consulting Detective genre deduction game. Sherlock Holmes Consulting Detective publisher Space Cowboys. Sherlock Holmes Consulting Detective instance of board game. Sherlock Holmes Consulting Detective minimum number of players 1. Sherlock Holmes Consulting Detective domain board game.
2752,inform = yes | name = Betrayal at House on the Hill | genres = cooperative board game | developer = Bruce Glassco | max_players = 6 | domain = board game,inform,Betrayal At House On The Hill Cooperative Board Game Bruce Glassco 6,board games,board game,1,4,Betrayal at House on the Hill genre cooperative board game. Betrayal at House on the Hill developer Bruce Glassco. Betrayal at House on the Hill maximum number of players 6. Betrayal at House on the Hill domain board game.
2753,inform = yes | name = Mystery Motive for Murder | genres = mystery fiction | min_players = 1 | max_players = 5 | domain = board game,inform,Mystery Motive For Murder Mystery Fiction 1 5,board games,board game,1,4,Mystery Motive for Murder genre mystery fiction. Mystery Motive for Murder minimum number of players 1. Mystery Motive for Murder maximum number of players 5. Mystery Motive for Murder domain board game.
2754,inform = yes | name = Punaisten ja valkoisten taistelu Suomessa 1918 | genres = wargame | country_of_origin = Finland | publication_year = 1918 | max_players = 2 | domain = board game,inform,Punaisten Ja Valkoisten Taistelu Suomessa 1918 Wargame Finland 1918 2,board games,board game,1,5,Punaisten ja valkoisten taistelu Suomessa 1918 genre wargame. Punaisten ja valkoisten taistelu Suomessa 1918 country of origin Finland. Punaisten ja valkoisten taistelu Suomessa 1918 publication date 1918. Punaisten ja valkoisten taistelu Suomessa 1918 maximum number of players 2. Punaisten ja valkoisten taistelu Suomessa 1918 domain board game.
2755,inform = yes | name = Twilight Struggle | genres = board wargame | instance_of = board game | publisher = GMT Games | min_players = 2 | max_players = 2 | domain = board game,inform,Twilight Struggle Board Wargame Board Game Gmt Games 2 2,board games,board game,1,6,Twilight Struggle genre board wargame. Twilight Struggle instance of board game. Twilight Struggle publisher GMT Games. Twilight Struggle minimum number of players 2. Twilight Struggle maximum number of players 2. Twilight Struggle domain board game.
2756,inform = yes | name = Lord of the Rings | genres = fantasy | based_on = The Lord of the Rings | max_players = 5 | instance_of = board game | min_players = 2 | developer = Reiner Knizia | domain = board game,inform,Lord Of The Rings Fantasy The Lord Of The Rings 5 Board Game 2 Reiner Knizia,board games,board game,1,7,Lord of the Rings genre fantasy. Lord of the Rings based on The Lord of the Rings. Lord of the Rings maximum number of players 5. Lord of the Rings instance of board game. Lord of the Rings minimum number of players 2. Lord of the Rings developer Reiner Knizia. Lord of the Rings domain board game.
2757,inform = yes | name = Barbarossa | genres = fantasy | publication_year = 1988 | developer = Klaus Teuber | domain = board game,inform,Barbarossa Fantasy 1988 Klaus Teuber,board games,board game,1,4,Barbarossa genre fantasy. Barbarossa publication date 1988. Barbarossa developer Klaus Teuber. Barbarossa domain board game.
2758,inform = yes | name = Betrayal at House on the Hill | genres = horror fiction | instance_of = board game | max_players = 6 | publisher = Asmodee | developer = Bruce Glassco | publication_year = 2004 | domain = board game,inform,Betrayal At House On The Hill Horror Fiction Board Game 6 Asmodee Bruce Glassco 2004,board games,board game,1,7,Betrayal at House on the Hill genre horror fiction. Betrayal at House on the Hill instance of board game. Betrayal at House on the Hill maximum number of players 6. Betrayal at House on the Hill publisher Asmodee. Betrayal at House on the Hill developer Bruce Glassco. Betrayal at House on the Hill publication date 2004. Betrayal at House on the Hill domain board game.
2759,inform = yes | name = Lord of the Rings | genres = fantasy | developer = Reiner Knizia | max_players = 5 | based_on = The Lord of the Rings | domain = board game,inform,Lord Of The Rings Fantasy Reiner Knizia 5 The Lord Of The Rings,board games,board game,1,5,Lord of the Rings genre fantasy. Lord of the Rings developer Reiner Knizia. Lord of the Rings maximum number of players 5. Lord of the Rings based on The Lord of the Rings. Lord of the Rings domain board game.
2760,inform = yes | name = HeroQuest | genres = fantasy | min_players = 2 | domain = board game,inform,Heroquest Fantasy 2,board games,board game,1,3,HeroQuest genre fantasy. HeroQuest minimum number of players 2. HeroQuest domain board game.
2761,inform = yes | name = Battle Masters | genres = fantasy | publication_year = 1992 | instance_of = board game | min_players = 2 | max_players = 2 | based_on = Warhammer | domain = board game,inform,Battle Masters Fantasy 1992 Board Game 2 2 Warhammer,board games,board game,1,7,Battle Masters genre fantasy. Battle Masters publication date 1992. Battle Masters instance of board game. Battle Masters minimum number of players 2. Battle Masters maximum number of players 2. Battle Masters based on Warhammer. Battle Masters domain board game.
2762,inform = yes | name = Mangala | genres = abstract strategy game | min_players = 2 | based_on = mancala | instance_of = board game | max_players = 2 | domain = board game,inform,Mangala Abstract Strategy Game 2 Mancala Board Game 2,board games,board game,1,6,Mangala genre abstract strategy game. Mangala minimum number of players 2. Mangala based on mancala. Mangala instance of board game. Mangala maximum number of players 2. Mangala domain board game.
2763,inform = yes | name = Carcassonne | genres = German-style board game | publication_year = 2000 | min_players = 2 | instance_of = board game | country_of_origin = Germany | domain = board game,inform,Carcassonne German-Style Board Game 2000 2 Board Game Germany,board games,board game,1,6,Carcassonne genre German-style board game. Carcassonne publication date 2000. Carcassonne minimum number of players 2. Carcassonne instance of board game. Carcassonne country of origin Germany. Carcassonne domain board game.
2764,inform = yes | name = Descent Journeys in the Dark | genres = fantasy | min_players = 2 | max_players = 5 | instance_of = board game | domain = board game,inform,Descent Journeys In The Dark Fantasy 2 5 Board Game,board games,board game,1,5,Descent Journeys in the Dark genre fantasy. Descent Journeys in the Dark minimum number of players 2. Descent Journeys in the Dark maximum number of players 5. Descent Journeys in the Dark instance of board game. Descent Journeys in the Dark domain board game.
2765,inform = yes | name = Battle Masters | genres = fantasy | instance_of = board game | max_players = 2 | min_players = 2 | domain = board game,inform,Battle Masters Fantasy Board Game 2 2,board games,board game,1,5,Battle Masters genre fantasy. Battle Masters instance of board game. Battle Masters maximum number of players 2. Battle Masters minimum number of players 2. Battle Masters domain board game.
2766,inform = yes | name = Afrikan tähti | genres = roll-and-move | country_of_origin = Finland | instance_of = board game | publication_year = 1951 | max_players = 6 | domain = board game,inform,Afrikan Tähti Roll-And-Move Finland Board Game 1951 6,board games,board game,1,6,Afrikan tähti genre roll-and-move. Afrikan tähti country of origin Finland. Afrikan tähti instance of board game. Afrikan tähti publication date 1951. Afrikan tähti maximum number of players 6. Afrikan tähti domain board game.
2767,inform = yes | name = A Game of Thrones | genres = fantasy | max_players = 5 | instance_of = board game | publisher = Fantasy Flight Games | min_players = 3 | domain = board game,inform,A Game Of Thrones Fantasy 5 Board Game Fantasy Flight Games 3,board games,board game,1,6,A Game of Thrones genre fantasy. A Game of Thrones maximum number of players 5. A Game of Thrones instance of board game. A Game of Thrones publisher Fantasy Flight Games. A Game of Thrones minimum number of players 3. A Game of Thrones domain board game.
2768,inform = yes | name = A Game of Thrones | genres = fantasy | min_players = 3 | instance_of = board game | publication_year = 2003 | max_players = 5 | domain = board game,inform,A Game Of Thrones Fantasy 3 Board Game 2003 5,board games,board game,1,6,A Game of Thrones genre fantasy. A Game of Thrones minimum number of players 3. A Game of Thrones instance of board game. A Game of Thrones publication date 2003. A Game of Thrones maximum number of players 5. A Game of Thrones domain board game.
2769,inform = yes | name = Mangala | genres = abstract strategy game | based_on = mancala | max_players = 2 | min_players = 2 | domain = board game,inform,Mangala Abstract Strategy Game Mancala 2 2,board games,board game,1,5,Mangala genre abstract strategy game. Mangala based on mancala. Mangala maximum number of players 2. Mangala minimum number of players 2. Mangala domain board game.
2770,inform = yes | name = A Game of Thrones | genres = fantasy | max_players = 5 | min_players = 3 | publication_year = 2003 | publisher = Fantasy Flight Games | domain = board game,inform,A Game Of Thrones Fantasy 5 3 2003 Fantasy Flight Games,board games,board game,1,6,A Game of Thrones genre fantasy. A Game of Thrones maximum number of players 5. A Game of Thrones minimum number of players 3. A Game of Thrones publication date 2003. A Game of Thrones publisher Fantasy Flight Games. A Game of Thrones domain board game.
2771,inform = yes | name = Sherlock Holmes Consulting Detective | genres = deduction game | min_players = 1 | publisher = Space Cowboys | domain = board game,inform,Sherlock Holmes Consulting Detective Deduction Game 1 Space Cowboys,board games,board game,1,4,Sherlock Holmes Consulting Detective genre deduction game. Sherlock Holmes Consulting Detective minimum number of players 1. Sherlock Holmes Consulting Detective publisher Space Cowboys. Sherlock Holmes Consulting Detective domain board game.
2772,inform = yes | name = Star Realms | genres = science fiction | min_players = 2 | developer = Darwin Kastle | max_players = 6 | publisher = White Wizard Games | domain = board game,inform,Star Realms Science Fiction 2 Darwin Kastle 6 White Wizard Games,board games,board game,1,6,Star Realms genre science fiction. Star Realms minimum number of players 2. Star Realms developer Darwin Kastle. Star Realms maximum number of players 6. Star Realms publisher White Wizard Games. Star Realms domain board game.
2773,inform = yes | name = Star Realms | genres = science fiction | developer = Darwin Kastle | publication_year = 2014 | publisher = White Wizard Games | instance_of = board game | min_players = 2 | domain = board game,inform,Star Realms Science Fiction Darwin Kastle 2014 White Wizard Games Board Game 2,board games,board game,1,7,Star Realms genre science fiction. Star Realms developer Darwin Kastle. Star Realms publication date 2014. Star Realms publisher White Wizard Games. Star Realms instance of board game. Star Realms minimum number of players 2. Star Realms domain board game.
2774,inform = yes | name = Twilight Struggle | genres = board wargame | instance_of = board game | max_players = 2 | min_players = 2 | publisher = GMT Games | domain = board game,inform,Twilight Struggle Board Wargame Board Game 2 2 Gmt Games,board games,board game,1,6,Twilight Struggle genre board wargame. Twilight Struggle instance of board game. Twilight Struggle maximum number of players 2. Twilight Struggle minimum number of players 2. Twilight Struggle publisher GMT Games. Twilight Struggle domain board game.
2775,inform = yes | name = Thurn and Taxis | genres = historical board game | developer = Karen Seyfarth | max_players = 4 | domain = board game,inform,Thurn And Taxis Historical Board Game Karen Seyfarth 4,board games,board game,1,4,Thurn and Taxis genre historical board game. Thurn and Taxis developer Karen Seyfarth. Thurn and Taxis maximum number of players 4. Thurn and Taxis domain board game.
2776,inform = yes | name = War of 1812 | genres = wargame | max_players = 2 | instance_of = board game | publication_year = 1973 | domain = board game,inform,War Of 1812 Wargame 2 Board Game 1973,board games,board game,1,5,War of 1812 genre wargame. War of 1812 maximum number of players 2. War of 1812 instance of board game. War of 1812 publication date 1973. War of 1812 domain board game.
2777,inform = yes | name = Betrayal at House on the Hill | genres = cooperative board game | developer = Bruce Glassco | instance_of = board game | publisher = Hasbro | publication_year = 2004 | min_players = 3 | domain = board game,inform,Betrayal At House On The Hill Cooperative Board Game Bruce Glassco Board Game Hasbro 2004 3,board games,board game,1,7,Betrayal at House on the Hill genre cooperative board game. Betrayal at House on the Hill developer Bruce Glassco. Betrayal at House on the Hill instance of board game. Betrayal at House on the Hill publisher Hasbro. Betrayal at House on the Hill publication date 2004. Betrayal at House on the Hill minimum number of players 3. Betrayal at House on the Hill domain board game.
2778,inform = yes | name = Scotland Yard | genres = deduction game | game_mechanics = cooperative gameplay | min_players = 3 | publisher = Ravensburger | instance_of = board game | domain = board game,inform,Scotland Yard Deduction Game Cooperative Gameplay 3 Ravensburger Board Game,board games,board game,1,6,Scotland Yard genre deduction game. Scotland Yard game mechanics cooperative gameplay. Scotland Yard minimum number of players 3. Scotland Yard publisher Ravensburger. Scotland Yard instance of board game. Scotland Yard domain board game.
2779,inform = yes | name = Enchanted Forest | genres = fantasy | publisher = Ravensburger | instance_of = board game | domain = board game,inform,Enchanted Forest Fantasy Ravensburger Board Game,board games,board game,1,4,Enchanted Forest genre fantasy. Enchanted Forest publisher Ravensburger. Enchanted Forest instance of board game. Enchanted Forest domain board game.
2780,inform = yes | name = Lord of the Rings | genres = fantasy | max_players = 5 | based_on = The Lord of the Rings | instance_of = board game | min_players = 2 | domain = board game,inform,Lord Of The Rings Fantasy 5 The Lord Of The Rings Board Game 2,board games,board game,1,6,Lord of the Rings genre fantasy. Lord of the Rings maximum number of players 5. Lord of the Rings based on The Lord of the Rings. Lord of the Rings instance of board game. Lord of the Rings minimum number of players 2. Lord of the Rings domain board game.
2781,inform = yes | name = Descent Journeys in the Dark | genres = fantasy | instance_of = board game | min_players = 2 | max_players = 5 | publisher = Fantasy Flight Games | domain = board game,inform,Descent Journeys In The Dark Fantasy Board Game 2 5 Fantasy Flight Games,board games,board game,1,6,Descent Journeys in the Dark genre fantasy. Descent Journeys in the Dark instance of board game. Descent Journeys in the Dark minimum number of players 2. Descent Journeys in the Dark maximum number of players 5. Descent Journeys in the Dark publisher Fantasy Flight Games. Descent Journeys in the Dark domain board game.
2782,inform = yes | name = Descent Journeys in the Dark | genres = fantasy | instance_of = board game | publisher = Fantasy Flight Games | min_players = 2 | publication_year = 2005 | max_players = 5 | domain = board game,inform,Descent Journeys In The Dark Fantasy Board Game Fantasy Flight Games 2 2005 5,board games,board game,1,7,Descent Journeys in the Dark genre fantasy. Descent Journeys in the Dark instance of board game. Descent Journeys in the Dark publisher Fantasy Flight Games. Descent Journeys in the Dark minimum number of players 2. Descent Journeys in the Dark publication date 2005. Descent Journeys in the Dark maximum number of players 5. Descent Journeys in the Dark domain board game.
2783,inform = yes | name = Star Realms | genres = science fiction | developer = Darwin Kastle | max_players = 6 | instance_of = board game | domain = board game,inform,Star Realms Science Fiction Darwin Kastle 6 Board Game,board games,board game,1,5,Star Realms genre science fiction. Star Realms developer Darwin Kastle. Star Realms maximum number of players 6. Star Realms instance of board game. Star Realms domain board game.
2784,inform = yes | name = Dune | genres = science fiction | min_players = 2 | publisher = Avalon Hill | instance_of = board game | domain = board game,inform,Dune Science Fiction 2 Avalon Hill Board Game,board games,board game,1,5,Dune genre science fiction. Dune minimum number of players 2. Dune publisher Avalon Hill. Dune instance of board game. Dune domain board game.
2785,inform = yes | name = Enchanted Forest | genres = fantasy | instance_of = board game | min_players = 2 | developer = Michel Matschoss | publisher = Ravensburger | max_players = 6 | domain = board game,inform,Enchanted Forest Fantasy Board Game 2 Michel Matschoss Ravensburger 6,board games,board game,1,7,Enchanted Forest genre fantasy. Enchanted Forest instance of board game. Enchanted Forest minimum number of players 2. Enchanted Forest developer Michel Matschoss. Enchanted Forest publisher Ravensburger. Enchanted Forest maximum number of players 6. Enchanted Forest domain board game.
