,Unnamed: 0,index,mr_new,pseudo_mr,da,text,,,num_hops,num_triples,shape,LM_prob,PPL,pseudo_bleu,scores,pred,criteria,da_acc
7181,7181,718,The Way I Are (Dance with Somebody) rating good. The Way I Are (Dance with Somebody) producer Joel Little. The Way I Are (Dance with Somebody) part of All Your Fault: Pt. 2.,The Way I Are (Dance with Somebody) good Joel Little All Your Fault: Pt. 2,verify_attribute,"
I know you like The Way I Are (Dance with Somebody) from All Your Fault: Pt. 2. Do you think Joel Little's other work is good as well?",28,28,2,3,(X (X) (X (X))),0.01901343853,52.59437943,40.59937187,0.8175799,verify_attribute,match_scores,1
7197,7197,719,For a Friend genre pop music. Rambo Amadeus genre pop music. If I Were a Boy genre pop music.,For a Friend Rambo Amadeus pop music If I Were a Boy,inform," For a Friend, by Rambo Amadeus, and If I Were a Boy by Beyonce are both examples of pop music.",20,20,2,3,(X (X (X) (X))),0.01239408641,80.68363953,24.51829992,0.7664192,inform,match,1
7209,7209,720,About Damn Time genre disco. Dschinghis Khan genre disco.,About Damn Time Dschinghis Khan disco,suggest," Are you into disco music, like About Damn Time by Dschinghis Khan?",12,12,2,2,(X (X (X))),0.00115024007,869.383728,13.91231164,0.86598206,suggest,match_scores,1
7218,7218,721,Feel Again genre pop music. Maria von Trapp genre pop music. If I Were a Boy genre pop music.,Feel Again Maria von Trapp pop music If I Were a Boy,inform," Feel Again, If I Were a Boy, and Maria von Trapp are all pop music.",15,15,2,3,(X (X (X) (X))),0.003669512308,272.5157776,31.97843,0.93116623,give_opinion,all_scores,0
7228,7228,722,Stairway to Heaven genre progressive rock. Electric Light Orchestra genre progressive rock. Stairway to Heaven genre hard rock. Stairway to Heaven record label Atlantic Records.,Stairway to Heaven Electric Light Orchestra progressive rock hard rock Atlantic Records,inform," Stairway to Heaven is a progressive rock and hard rock song by Atlantic Records, alongside Electric Light Orchestra another progressive rock band.",22,22,2,4,(X (X) (X) (X (X))),0.01875105998,53.33031845,13.47176685,0.90211123,inform,match_scores,1
7231,7231,723,Viva la Vida rating excellent. Viva la Vida genre baroque pop. Viva la Vida performer Coldplay.,Viva la Vida excellent baroque pop Coldplay,give_opinion,Viva la Vida by Coldplay is an excellent baroque pop song that I highly recommend.,15,15,2,3,(X (X) (X (X))),0.02187604913,45.71209335,15.91178311,0.8966997,give_opinion,match_scores_PPL,1
7245,7245,724,Blurred Lines performer T.I.. T.I. genre hardcore hip hop. Blurred Lines part of Blurred Lines. Blurred Lines performer Pharrell Williams. Blurred Lines performer Robin Thicke. Blurred Lines genre contemporary R&B.,Blurred Lines T.I. hardcore hip hop Pharrell Williams Robin Thicke contemporary R&B,inform," Blurred Lines, a contemporary R&B song by T.I., Pharrell Williams, and Robin Thicke, is a part of Blurred Lines and is a genre of hardcore hip hop.",27,27,2,6,(X (X) (X) (X) (X) (X (X))),0.05254610392,19.03090668,18.5330802,0.85835505,inform,match_scores,1
7250,7250,725,Dog Eat Dog genre new wave. Frankie Goes to Hollywood genre new wave. Dog Eat Dog part of Kings of the Wild Frontier.,Dog Eat Dog Frankie Goes to Hollywood new wave Kings of the Wild Frontier,inform,Dog Eat Dog is a new wave song featured on Kings of the Wild Frontier by Frankie Goes to Hollywood.,20,20,2,3,(X (X) (X (X))),0.00605313637,165.2036133,36.39412531,0.9459644,inform,match_scores,1
7266,7266,726,"Over It record label RCA Records, Inc.. RCA Records, Inc. genre country music. Over It performer Katharine McPhee. Over It publication date 2007. Over It genre pop music. ","Over It RCA Records, Inc. country music Katharine McPhee 2007 pop music",inform," Over It by Katharine McPhee is a pop and country music piece released by RCA Records, Inc. in 2007.",19,19,2,5,(X (X) (X) (X) (X (X))),0.01823270006,54.84651184,23.61520759,0.91984755,inform,match_scores,1
7274,7274,727,Get Up! genre dubstep. Katy B genre dubstep. Get Up! performer Korn. Get Up! performer Skrillex.,Get Up! Katy B dubstep Korn Skrillex,inform,Get Up! is a dubstep song featuring Korn and Skrillex and is produced by Katy B.,16,16,2,4,(X (X) (X) (X (X))),0.01684681139,59.3584137,11.30608235,0.871779,inform,match_scores,1
7280,7280,728,Wanna Get to Know You rating good. Wanna Get to Know You performer G-Unit. Wanna Get to Know You part of Beg for Mercy.,Wanna Get to Know You good G-Unit Beg for Mercy,give_opinion,Wanna Get To Know You by G-Unit is a good song from the Beg for Mercy album.,17,17,2,3,(X (X) (X (X))),0.005951976047,168.0114288,12.51223692,0.8126274,give_opinion,match_scores,1
7295,7295,729,Macarena performer Los del Río. Los del Río genre Latin pop. Macarena genre Eurodance. Macarena publication date 1993. Macarena Non Stop performer Los del Río.,Macarena Los del Río Latin pop Eurodance 1993 Macarena Non Stop,inform," In 1993, Los del Río released the Latin pop song ""Macarena"" and the Eurodance remix ""Macarena Non Stop"".",18,18,2,5,(X (X) (X) (X (X) (X))),0.01733204441,57.69659805,12.11840351,0.8038641,inform,match_scores,1
7309,7309,730,i genre hip hop music. Jamie Foxx genre hip hop music.,i Jamie Foxx hip hop music,recommend,Have you heard of the hip hop song i by Jamie Foxx?,12,12,2,2,(X (X (X))),0.01131830754,88.35243225,9.23843021,0.8562381,recommend,match_scores,1
7310,7310,731,Marilyn Monroe producer Pharrell Williams. Pharrell Williams genre hip hop music. Marilyn Monroe genre funk. Girl tracklist Marilyn Monroe. Let's Get Blown performer Pharrell Williams.,Marilyn Monroe Pharrell Williams hip hop music funk Girl Let's Get Blown,inform,Pharrell Williams is a hip hop music producer and his song Marilyn Monroe is a funk song included in the album Girl. His other work is Let's Get Blown.,29,29,2,5,(X (X) (X) (X (X) (X))),0.01684762343,59.35555267,9.881511483,0.79638565,inform,match_scores,1
7320,7320,732,Evolution rating good. Evolution record label EMI.,Evolution good EMI,verify_attribute,You told me that you think Evolution is good. Do you usually enjoy music from EMI?,16,16,2,2,(X (X (X))),0.01193533183,83.78485107,2.826520588,0.6799229,verify_attribute,match_scores,1
7337,7337,733,i genre hip hop music. Stan genre hip hop music. i record label Aftermath Entertainment. i producer Rahki. i publication date 2014. 5 O'Clock genre hip hop music. Ice-T genre hip hop music.,i Stan hip hop music Aftermath Entertainment Rahki 2014 5 O'Clock Ice-T,inform," i is a hip hop song released in 2014 by Aftermath Entertainment, produced by Rahki. Notable hip hop songs include Stan and 5 O'Clock by Ice-T.",26,26,2,7,(X (X) (X) (X) (X (X) (X) (X))),0.01036735157,96.45664978,5.186599369,0.8119593,inform,match_scores,1
7342,7342,734,Y.M.C.A. rating excellent. Y.M.C.A. part of Cruisin'. Y.M.C.A. performer Village People.,Y.M.C.A. excellent Cruisin' Village People,give_opinion,Y.M.C.A. by Village People is an excellent song and a great addition to the Cruisin' album.,16,16,2,3,(X (X) (X (X))),0.01770059934,56.49526215,32.59889346,0.7686123,give_opinion,match_scores,1
7357,7357,735,Every Breath You Take part of Synchronicity. Synchronicity genre jazz. Every Breath You Take performer The Police. Every Breath You Take genre pop rock. Every Breath You Take producer Stewart Copeland.,Every Breath You Take Synchronicity jazz The Police pop rock Stewart Copeland,inform," Every Breath You Take by The Police is a pop rock song off of the jazz album Synchronicity, produced by Stewart Copeland.",22,22,2,5,(X (X) (X) (X) (X (X))),0.01104240033,90.56002045,15.41506498,0.87780994,inform,match_scores,1
7362,7362,736,Dog Eat Dog genre new wave. Alla Pugacheva genre new wave. Dog Eat Dog publication date 1980. Dog Eat Dog record label Sony Music. Dog Eat Dog part of Kings of the Wild Frontier.,Dog Eat Dog Alla Pugacheva new wave 1980 Sony Music Kings of the Wild Frontier,inform," Dog Eat Dog is a 1980 new wave song by Alla Pugacheva, published by Sony Music and part of the album Kings of the Wild Frontier.",26,26,2,5,(X (X) (X) (X) (X (X))),0.007623671491,131.1703949,21.65195675,0.9103933,inform,match_scores,1
7377,7377,737,So Good performer B.o.B. B.o.B genre alternative hip hop. So Good producer Ryan Tedder. So Good record label Atlantic Records. So Good record label Grand Hustle Records. B.o.B record label Rebel Rock. B.o.B genre hip hop music.,So Good B.o.B alternative hip hop Ryan Tedder Atlantic Records Grand Hustle Records Rebel Rock hip hop music,inform," So Good by B.o.B is an alternative hip hop song produced by Ryan Tedder, released by Atlantic Records and Grand Hustle Records, and B.o.B is signed to Rebel Rock label for hip hop music.",34,34,2,7,(X (X) (X) (X) (X (X) (X) (X))),0.01844494345,54.2154007,17.93028764,0.8847068,inform,match_scores,1
7380,7380,738,I Still... genre pop music. Mandy Capristo genre pop music. I Still... record label Jive Records. I Still... performer Backstreet Boys. I Still... producer Max Martin. Heidi Brühl genre pop music.,I Still... Mandy Capristo pop music Jive Records Backstreet Boys Max Martin Heidi Brühl,inform," I Still... by Backstreet Boys is a pop song released by Jive Records, produced by Max Martin. Another pop artist is Mandy Capristo and Heidi Brühl.",26,26,2,6,(X (X) (X) (X) (X (X) (X))),0.008308498126,120.358696,17.7877372,0.891229,inform,match_scores,1
7397,7397,739,Waka Waka (This Time for Africa) producer Shakira. Shakira genre contemporary R&B. Listen Up! The Official 2010 FIFA World Cup Album tracklist Waka Waka (This Time for Africa). Waka Waka (This Time for Africa) publication date 2010. Waka Waka (This Time for Africa) performer Freshlyground. Waka Waka (This Time for Africa) producer John Hill. Shakira record label Live Nation Entertainment.,Waka Waka (This Time for Africa) Shakira contemporary R&B Listen Up! The Official 2010 FIFA World Cup Album 2010 Freshlyground John Hill Live Nation Entertainment,inform," Waka Waka (This Time for Africa) is a contemporary R&B song produced by Shakira and John Hill, released in 2010 on Live Nation Entertainment as part of the Listen Up! The Official 2010 FIFA World Cup Album. It was performed by Freshlyground.",42,42,2,7,(X (X) (X) (X) (X) (X (X) (X))),0.01482978312,67.43186951,40.30489159,0.9456526,inform,match_scores,1
7402,7402,740,Blurred Lines performer Pharrell Williams. Pharrell Williams genre funk. Blurred Lines record label Universal Music Group. Blurred Lines part of Blurred Lines.,Blurred Lines Pharrell Williams funk Universal Music Group,inform,Blurred Lines by Pharrell Williams is a funk song released by Universal Music Group as part of the album Blurred Lines.,21,21,2,4,(X (X) (X) (X (X))),0.04456799508,22.43762589,9.770653288,0.8747896,inform,match_scores,1
7418,7418,741,Kings of the Wild Frontier genre post-punk. LiLiPUT genre post-punk. Kings of the Wild Frontier part of Kings of the Wild Frontier. Peter Gabriel genre post-punk.,Kings of the Wild Frontier LiLiPUT post-punk Peter Gabriel,inform," Kings of the Wild Frontier is a post-punk album by Peter Gabriel, as is LiLiPUT.",15,15,2,4,(X (X) (X (X) (X))),0.004054977315,246.6105042,26.22067644,0.90921724,inform,match_scores,1
7421,7421,742,Dog Eat Dog genre new wave. Vince Clarke genre new wave.,Dog Eat Dog Vince Clarke new wave,suggest," Are you familiar with new wave music, like Dog Eat Dog by Vince Clarke?",14,14,2,2,(X (X (X))),0.006999524294,142.8668518,13.38016138,0.8958916,suggest,match_scores,1
7439,7439,743,Every Breath You Take part of Synchronicity. Synchronicity genre jazz.,Every Breath You Take Synchronicity jazz,inform,Every Breath You Take is part of the jazz album Synchronicity.,11,11,2,2,(X (X (X))),0.01318399678,75.84953308,23.46235032,0.8649278,inform,match_scores_PPL,1
7445,7445,744,Sweet Home Alabama genre rock music. Jack White genre rock music. Sweet Home Alabama part of Second Helping. Sweet Home Alabama record label MCA Records. Sweet Home Alabama producer Al Kooper. ZZ Top genre rock music.,Sweet Home Alabama Jack White rock music Second Helping MCA Records Al Kooper ZZ Top,inform," Sweet Home Alabama is a rock music part of Second Helping, released by MCA Records, produced by Al Kooper. Jack White and ZZ Top are other notable rock artists.",29,29,2,6,(X (X) (X) (X) (X (X) (X))),0.008429995637,118.6240234,8.840994002,0.88601565,inform,match_scores,1
7451,7451,745,Space Oddity performer David Bowie. David Bowie genre psychedelic rock. Space Oddity part of David Bowie. Space Oddity genre space rock. David Bowie genre hard rock. David Bowie genre new wave.,Space Oddity David Bowie psychedelic rock space rock hard rock new wave,inform," Space Oddity, a space rock song by David Bowie, is part of his psychedelic rock, hard rock, and new wave collection.",21,21,2,6,(X (X) (X) (X (X) (X) (X))),0.02660494462,37.58699799,7.076972675,0.9128999,inform,match_scores,1
7465,7465,746,Wanna Get to Know You rating good. Beg for Mercy tracklist Wanna Get to Know You. Beg for Mercy genre hardcore hip hop.,Wanna Get to Know You Beg for Mercy good hardcore hip hop,verify_attribute,"
I know you like Wanna Get to Know You from Beg for Mercy. Do you think hardcore hip hop is usually good?",22,22,2,3,(X (X (X) (X))),0.01034758171,96.64093781,24.76980257,0.86956203,verify_attribute,match_scores,1
7477,7477,747,Money for Nothing rating excellent. Money for Nothing producer Mark Knopfler. Mark Knopfler record label Warner Bros. Records.,Money for Nothing excellent Mark Knopfler Warner Bros. Records,give_opinion," Money for Nothing by Mark Knopfler, released by Warner Bros. Records, is an excellent track.",15,15,2,3,(X (X (X) (X))),0.02071888388,48.26514816,20.97342579,0.930629,give_opinion,match_scores,1
7481,7481,748,Mr. Brightside genre indie rock. Treble Charger genre indie rock. Mr. Brightside record label Island Records. Ginger Baker record label Island Records.,Mr. Brightside Treble Charger indie rock Ginger Baker Island Records,inform," Mr. Brightside is an indie rock song released by Island Records, as is Ginger Baker by Treble Charger.",18,18,2,4,(X (X (X)) (X (X))),0.004139671726,241.5650482,12.3114622,0.9078769,inform,match_scores_PPL,1
7493,7493,749,As It Was performer Harry Styles. Harry Styles genre Britpop. As It Was genre synth-pop. As It Was record label Columbia Records. Brandi Carlile record label Columbia Records.,As It Was Harry Styles Britpop synth-pop Brandi Carlile Columbia Records,inform," Harry Styles' synth-pop song ""As It Was"" was released by Columbia Records, the same label of Brandi Carlile.",18,18,2,5,(X (X) (X (X)) (X (X))),0.02090112834,47.84430695,10.06263531,0.81068116,inform,match_scores,1
7502,7502,750,Blinding Lights genre electropop. All the Things She Said genre electropop. Blinding Lights performer The Weeknd. Blinding Lights part of The Weeknd singles discography. Diamond genre electropop.,Blinding Lights All the Things She Said electropop The Weeknd The Weeknd singles discography Diamond,inform," Blinding Lights by The Weeknd is an electropop single, part of The Weeknd's singles discography. Other electropop songs include All the Things She Said and Diamond.",26,26,2,5,(X (X) (X) (X (X) (X))),0.01631035163,61.31075668,17.92136339,0.8862986,inform,match,1
7510,7510,751,Lose Yourself rating excellent. Lose Yourself record label Shady Records. The Alchemist record label Shady Records.,Lose Yourself excellent Shady Records The Alchemist,give_opinion," Lose Yourself by The Alchemist, released by Shady Records, is an excellent track that I highly recommend.",17,17,2,3,(X (X (X) (X))),0.01322030766,75.64120483,6.892964966,0.81654304,give_opinion,match_scores,1
7520,7520,752,So Good record label Atlantic Records. Atlantic Records genre various genre. So Good record label Grand Hustle Records. So Good performer B.o.B. So Good genre pop rap. Back in Black record label Atlantic Records.,So Good Atlantic Records various genre Grand Hustle Records B.o.B pop rap Back in Black,inform," So Good by B.o.B is a pop rap song released by Grand Hustle Records and Atlantic Records, a label that produces various genres such as Back in Black.",28,28,2,6,(X (X) (X) (X) (X (X) (X))),0.01203423153,83.09629059,20.53714953,0.8957772,inform,match_scores,1
7537,7537,753,Waka Waka (This Time for Africa) producer Shakira. Shakira genre dance music. Listen Up! The Official 2010 FIFA World Cup Album tracklist Waka Waka (This Time for Africa). Waka Waka (This Time for Africa) genre pop rock. Waka Waka (This Time for Africa) genre pop music. Shakira record label Sony Music.,Waka Waka (This Time for Africa) Shakira dance music Listen Up! The Official 2010 FIFA World Cup Album pop rock pop music Sony Music,inform," Waka Waka (This Time for Africa) is a pop rock and pop music song by Shakira, released on Sony Music, and featured on the official 2010 FIFA World Cup album Listen Up!.",32,32,2,6,(X (X) (X) (X) (X (X) (X))),0.01641023792,60.93756866,31.66926313,0.94562227,inform,match_scores,1
7541,7541,754,Stereotypes rating excellent. Stereotypes performer Blur.,Stereotypes excellent Blur,give_opinion,Stereotypes by Blur is an excellent track that I highly recommend.,11,11,2,2,(X (X (X))),0.01046275283,95.57714081,4.456882761,0.79537576,give_opinion,match_scores,1
7553,7553,755,Dragostea din tei genre Eurodance. Lose Control genre Eurodance. Dragostea din tei producer Dan Balan. Dragostea din tei part of DiscO-Zone. Dragostea din tei performer O-Zone. Oriunde ai fi performer O-Zone.,Dragostea din tei Lose Control Eurodance Dan Balan DiscO-Zone Oriunde ai fi O-Zone,inform," O-Zone is an Eurodance group, their works include Dragostea din tei produced by Dan Balan, a part of DiscO-Zone, and Oriunde ai fi. Other Eurodance music is Lose Control.",29,29,2,6,(X (X) (X) (X (X)) (X (X))),0.003062089643,326.5743713,9.149503306,0.90209496,inform,match_scores,1
7565,7565,756,We Are the World rating good. We Are the World record label Columbia Records. Fleetwood Mac record label Columbia Records.,We Are the World good Columbia Records Fleetwood Mac,verify_attribute,"
You told me that you like We Are the World. Do you think Fleetwood Mac's music from Columbia Records is just as good?",23,23,2,3,(X (X (X) (X))),0.02524880247,39.60583878,12.04951458,0.82192874,verify_attribute,match_scores,1
7574,7574,757,Eminem rating excellent. Eminem part of Bad Meets Evil.,Eminem excellent Bad Meets Evil,request_explanation,What makes Eminem's work with Bad Meets Evil so excellent in your opinion?,13,13,2,2,(X (X (X))),0.008952907618,111.6955566,11.35935489,0.8373796,request_explanation,match_scores,1
7583,7583,758,Marilyn Monroe performer Pharrell Williams. Pharrell Williams genre contemporary R&B. Marilyn Monroe record label Columbia Records. Girl tracklist Marilyn Monroe. Pharrell Williams record label I Am Other.,Marilyn Monroe Pharrell Williams contemporary R&B Columbia Records Girl I Am Other,inform," Marilyn Monroe by Pharrell Williams, a contemporary R&B song, was released on Columbia Records and featured on his album Girl, released on I Am Other.",25,25,2,5,(X (X) (X) (X (X) (X))),0.01618496539,61.78573608,14.52362661,0.82945544,inform,match_scores,1
7597,7597,759,Que Calor producer Diplo. Diplo genre electro house. Que Calor part of Music Is the Weapon. Que Calor publication date 2019. Que Calor record label Mad Decent. Que Calor performer J Balvin. Diplo record label Atlantic Records.,Que Calor Diplo electro house Music Is the Weapon 2019 Mad Decent J Balvin Atlantic Records,inform," Que Calor by J Balvin is an electro house song produced by Diplo, published in 2019 under Mad Decent and Atlantic Records as part of Music Is the Weapon.",29,29,2,7,(X (X) (X) (X) (X) (X (X) (X))),0.006530660402,153.1238708,13.56907512,0.8922232,inform,match_scores,1
7607,7607,760,Paint It Black performer The Rolling Stones. The Rolling Stones genre psychedelic rock. Paint It Black publication date 1966. Paint It Black producer Andrew Loog Oldham. Paint It Black genre rock music. The Rolling Stones genre blues.,Paint It Black The Rolling Stones psychedelic rock 1966 Andrew Loog Oldham rock music blues,inform," Paint It Black by The Rolling Stones is a psychedelic rock song from 1966, produced by Andrew Loog Oldham. The Rolling Stones are a blues and rock music band.",29,29,2,6,(X (X) (X) (X) (X (X) (X))),0.01896548456,52.72736359,12.01739663,0.9283261,inform,match_scores,1
7611,7611,761,Waka Waka (This Time for Africa) producer Shakira. Shakira genre dance music. Shakira record label Epic Records.,Waka Waka (This Time for Africa) Shakira dance music Epic Records,inform," Waka Waka (This Time for Africa) is a dance music by Shakira, published by Epic Records.",16,16,2,3,(X (X (X) (X))),0.01204063789,83.05207825,41.68218947,0.9571702,inform,match_scores,1
7620,7620,762,Old Town Road genre country music. Michal Tučný genre country music. Old Town Road performer Lil Nas X. Old Town Road genre trap music. Bing Crosby genre country music.,Old Town Road Michal Tučný country music Lil Nas X trap music Bing Crosby,inform,Old Town Road by Lil Nas X is a country and trap music song. Michal Tučný and Bing Crosby are other country music artists.,24,24,2,5,(X (X) (X) (X (X) (X))),0.00348394269,287.0311279,13.29203258,0.91473997,inform,match_scores_PPL,1
7636,7636,763,Get Up! performer Skrillex. Skrillex genre future house.,Get Up! Skrillex future house,recommend,Have you heard of the future house song Get Up! by Skrillex?,12,12,2,2,(X (X (X))),0.01216637767,82.19373322,13.91231164,0.86894435,recommend,match_scores,1
7643,7643,764,Habibi (I Need Your Love) genre reggaeton. Mas Flow: Los Benjamins genre reggaeton. Habibi (I Need Your Love) producer Costi Ioniță. Habibi (I Need Your Love) performer Faydee. Habibi (I Need Your Love) performer Mohombi. reggaeton part of music of Latin America. Josenid genre reggaeton.,Habibi (I Need Your Love) Mas Flow: Los Benjamins reggaeton Costi Ioniță Faydee Mohombi music of Latin America Josenid,inform," Habibi (I Need Your Love) is a reggaeton song produced by Costi Ioniță and performed by Faydee and Mohombi, part of the Latin American music genre alongside albums like Mas Flow: Los Benjamins and Josenid.",35,35,2,7,(X (X) (X) (X) (X (X) (X) (X))),0.005510828379,181.4609222,26.66464613,0.89565015,inform,match_scores,1
7658,7658,765,Get Up! genre dubstep. Dizzee Rascal genre dubstep. Get Up! record label Roadrunner Records. Get Up! producer Skrillex. Get Up! publication date 2011. Hide (album of the Bloody Beetroots) genre dubstep. Era Istrefi genre dubstep.,Get Up! Dizzee Rascal dubstep Roadrunner Records Skrillex 2011 Hide (album of the Bloody Beetroots) Era Istrefi,inform," Get Up! by Dizzee Rascal is a dubstep song released in 2011 by Roadrunner Records, produced by Skrillex. Other dubstep works include Hide (album of the Bloody Beetroots) and Era Istrefi.",31,31,2,7,(X (X) (X) (X) (X (X) (X) (X))),0.01380847006,72.41931915,26.98093682,0.90383124,inform,match_scores,1
7660,7660,766,Viva la Vida performer Coldplay. Coldplay genre post-Britpop. Viva la Vida producer Rik Simpson. Viva la Vida record label Parlophone. Viva la Vida part of Viva la Vida or Death and All His Friends.,Viva la Vida Coldplay post-Britpop Rik Simpson Parlophone Viva la Vida or Death and All His Friends,inform,Viva la Vida by Coldplay is a post-Britpop song produced by Rik Simpson and released by Parlophone on Viva la Vida or Death and All His Friends.,27,27,2,5,(X (X) (X) (X) (X (X))),0.0162602332,61.49973297,36.76308285,0.95616543,inform,match_scores,1
7673,7673,767,King of Sorrow producer Sade Adu. Sade Adu genre funk.,King of Sorrow Sade Adu funk,suggest," Do you like Sade Adu's funk music, like King of Sorrow?",11,11,2,2,(X (X (X))),0.005495032075,181.9825592,13.0651133,0.8774058,suggest,match_scores,1
7686,7686,768,I Still... genre pop music. Nataly Dawn genre pop music. I Still... publication date 2005. I Still... performer Backstreet Boys. Lieutenant Pigeon genre pop music. Heidi Brühl genre pop music.,I Still... Nataly Dawn pop music 2005 Backstreet Boys Lieutenant Pigeon Heidi Brühl,inform," I Still... by Backstreet Boys is a pop song from 2005. Other examples of pop music are Nataly Dawn, Lieutenant Pigeon, and Heidi Brühl.",24,24,2,6,(X (X) (X) (X (X) (X) (X))),0.006299613445,158.7398987,18.3915652,0.8882769,inform,match_scores,1
7692,7692,769,rock music rating excellent. The Beach Boys genre rock music.,rock music The Beach Boys excellent,request_explanation,What makes The Beach Boys' rock music so excellent in your opinion?,12,12,2,2,(X (X (X))),0.00866441476,115.4146042,9.23843021,0.8350254,request_explanation,match_scores_PPL,1
7708,7708,770,Apple Shampoo performer Blink-182. Dude Ranch performer Blink-182.,Apple Shampoo Dude Ranch Blink-182,recommend,Have you heard the songs Apple Shampoo and Dude Ranch by Blink-182?,12,12,2,2,(X (X (X))),0.004311084874,231.9601746,9.23843021,0.87369955,recommend,match_scores_PPL,1
7717,7717,771,All or Nothing genre pop music. Mental As Anything genre pop music. All or Nothing producer Frank Farian. Girl You Know It's True tracklist All or Nothing. All or Nothing performer Milli Vanilli.,All or Nothing Mental As Anything pop music Frank Farian Girl You Know It's True Milli Vanilli,inform,All or Nothing is a pop song by Milli Vanilli produced by Frank Farian and featured on the Mental As Anything album Girl You Know It's True.,27,27,2,5,(X (X) (X) (X) (X (X))),0.008731737627,114.5247421,23.88752792,0.8801159,inform,match_scores,1
7720,7720,772,Dragostea din tei performer O-Zone. O-Zone genre pop music. Dragostea din tei record label Ultra Records. Dragostea din tei record label Polydor Records. Dragostea din tei producer Dan Balan. Dragostea din tei publication date 2004. Dragostea din tei part of DiscO-Zone.,Dragostea din tei O-Zone pop music Ultra Records Polydor Records Dan Balan 2004 DiscO-Zone,inform," Dragostea din tei is a 2004 pop song by O-Zone, produced by Dan Balan and released by Ultra Records and Polydor Records as part of DiscO-Zone.",26,26,2,7,(X (X) (X) (X) (X) (X) (X (X))),0.006407349054,156.0707855,9.018037818,0.92728215,inform,match_scores,1
7731,7731,773,Mr. Brightside genre indie rock. Cage the Elephant genre indie rock. Mr. Brightside publication date 2003. Mr. Brightside performer The Killers. Mr. Brightside part of Hot Fuss.,Mr. Brightside Cage the Elephant indie rock 2003 The Killers Hot Fuss,inform," Mr. Brightside is an indie rock song by The Killers, from their 2003 album Hot Fuss. Cage the Elephant is another notable indie rock band.",25,25,2,5,(X (X) (X) (X) (X (X))),0.01506645023,66.37263489,11.24053708,0.82350814,inform,match_scores,1
7740,7740,774,Stairway to Heaven genre progressive rock. Deep Purple genre progressive rock. Stairway to Heaven genre folk rock. Jerry Garcia genre progressive rock.,Stairway to Heaven Deep Purple progressive rock folk rock Jerry Garcia,inform,Stairway to Heaven is a progressive rock and folk rock song. Deep Purple and Jerry Garcia are notable progressive rock artists.,21,21,2,4,(X (X) (X (X) (X))),0.01627412524,61.44723511,11.16293853,0.8755957,inform,match_scores,1
7750,7750,775,All or Nothing genre pop music. Heidi Brühl genre pop music. All or Nothing performer Milli Vanilli. Girl You Know It's True tracklist All or Nothing. All or Nothing record label Arista Records. All or Nothing producer Frank Farian. Maria von Trapp genre pop music.,All or Nothing Heidi Brühl pop music Milli Vanilli Girl You Know It's True Arista Records Frank Farian Maria von Trapp,inform," All or Nothing is a pop song by Milli Vanilli, produced by Frank Farian and released on Arista Records. It is featured on the Girl You Know It's True tracklist and is among other pop music works by Heidi Brühl and Maria von Trapp.",44,44,2,7,(X (X) (X) (X) (X) (X (X) (X))),0.0212150999,47.1362381,15.89133715,0.8755119,inform,match_scores,1
7766,7766,776,Feel Again genre pop music. Jasmin Tabatabai genre pop music. Feel Again record label Interscope Records. Feel Again publication date 2012. Feel Again part of Native. Crazy in Love genre pop music.,Feel Again Jasmin Tabatabai pop music Interscope Records 2012 Native Crazy in Love,inform," ""Feel Again"" by Jasmin Tabatabai is a 2012 pop song released by Interscope Records, from the album Native. Another example of pop music is Crazy in Love.",27,27,2,6,(X (X) (X) (X) (X (X) (X))),0.01669980692,59.88093185,8.198953448,0.8698427,inform,match_scores,1
7776,7776,777,Afterlife performer Arcade Fire. Arcade Fire genre indie rock. Afterlife publication date 2013. Afterlife part of Reflektor. Afterlife record label Merge Records. Everything Now performer Arcade Fire. The Suburbs performer Arcade Fire.,Afterlife Arcade Fire indie rock 2013 Reflektor Merge Records Everything Now The Suburbs,inform," Afterlife is an indie rock song by Arcade Fire, released in 2013 as part of the album Reflektor and published by Merge Records. Other works by Arcade Fire include Everything Now and The Suburbs.",34,34,2,7,(X (X) (X) (X) (X (X) (X) (X))),0.03772448308,26.50798416,4.75820387,0.8042331,inform,match_scores,1
7784,7784,778,Space Oddity rating excellent. Space Oddity publication date 1969.,Space Oddity excellent 1969,give_opinion,Space Oddity is an excellent song from 1969 that stands the test of time.,14,14,2,2,(X (X (X))),0.0222253347,44.99369812,6.250381528,0.7926723,give_opinion,match_scores,1
7795,7795,779,Stereotypes rating excellent. Stereotypes genre Britpop.,Stereotypes excellent Britpop,verify_attribute,"
You love Stereotypes. Do you think other Britpop songs are just as great?",13,13,2,2,(X (X (X))),0.01356201576,73.73535156,3.125190764,0.7491718,verify_attribute,match_scores,1
7804,7804,780,"Over It record label RCA Records, Inc.. RCA Records, Inc. genre hip hop music. Over It genre sentimental ballad. Over It producer Billy Steinberg. Over It genre contemporary R&B. Over It performer Katharine McPhee. ","Over It RCA Records, Inc. hip hop music sentimental ballad Billy Steinberg contemporary R&B Katharine McPhee",inform," Katharine McPhee released the contemporary R&B and sentimental ballad ""Over It"" on RCA Records, Inc., a hip hop music label, produced by Billy Steinberg.",24,24,2,6,(X (X) (X) (X) (X) (X (X))),0.01406599445,71.09344482,26.27391234,0.9495293,inform,match_scores,1
